Source Sentence,Reference Translation,Model Translation
only when we applied the modern industrial policy which the commission has been successfully promoting for a number of years were we able to find reasonable solutions and we are now able to adopt a more relaxed approach when new problems arise,so quando aplicamos a politica industrial moderna que a comissao ha anos vem defendendo com exito conseguimos encontrar uma solucao adequada para os problemas e hoje podemos abordar novos problemas com maior a vontade,se nao se trata de uma politica de coesao e a comissao e a comissao e a comissao e a comissao nao se trata de um problema que nao se trata de um problema que nao se pode ser um pouco mais importante
we would of course prefer that the objectives that the defined priorities should be applied firmly and not at the cost of other objectives but by revising all of the financial perspectives,prefeririamos sim que os objectivos as prioridades definidas fossem prosseguidos com firmeza nao a custa de outros objectivos mas com a revisao das perspectivas financeiras,temos de ser o facto de o conselho de que a comissao nao pode ser um dos principais estadosmembros e que nao e um papel importante para a sua vida e a sua actividade
taking russia seriously means developing a sensible relationship and a pragmatic economic relationship with russia but it does not mean that we should not be critical of political developments within russia particularly with regard to human rights issues,levar a russia a serio significa desenvolver com este pais uma relacao sensata por um lado e uma relacao economica pragmatica mas nao significa que nao devamos ser criticos em relacao a evolucao politica da russia em particular no que diz respeito as questoes dos direitos humanos,a uniao europeia nao pode ser um papel importante para a europa e a necessidade de um sistema de paz e a europa e a sua capacidade de modo a que a europa nao e a sua capacidade de uma forma de uma maior parte
while it is true that some aspects of the cfp are part of the maritime policy so are some aspects of the transport policy for example but this does not mean that it is subsumed or hijacked under this heading,embora seja verdade que alguns aspectos da pcp sao parte integrante da politica maritima o mesmo sucede com alguns aspectos da politica de transportes por exemplo mas tal nao significa que esta fique subsumida ou sequestrada nessa rubrica,por isso nao podemos deixar de que a questao da politica de coesao nao e um importante passo que a politica de coesao e um dos principais objectivos da politica de que nao se trata de uma solucao para o futuro
we should note that only a proportion of natural disasters including floods are caused by natural forces beyond human control,devemos notar que apenas uma parte das catastrofes naturais incluindo as inundacoes sao causadas por forcas naturais que ultrapassam a capacidade de controlo humano,temos de garantir que a situacao de um sistema de accao social e a sua capacidade de modo a que os paises candidatos a fim de se tornar mais de um sistema de paz
back then the time had perhaps still not come to make the unions voice heard it is perhaps a better time to do so now,talvez entao ainda nao tivesse chegado o momento de a uniao fazer ouvir a sua voz e quica agora seja uma altura mais propicia para o fazer,embora nao se trata de um acordo interinstitucional que nao se encontra em vigor em que se trata de um processo de paz
in the college of quaestors we have also discussed because we too are concerned robberies that are taking place within parliament,no colegio dos questores discutimos tambem a questao dos furtos que se tem verificado no parlamento porque se trata de um assunto que tambem nos preocupa,por escrito o que se refere a este respeito e que se trata de um acordo que se refere a situacao dos nossos cidadaos
let us turn now to staff meritocratic selection in all the countries will provide a uniform standard among teachers associations,vejamos agora a questao do pessoal uma seleccao baseada no merito em todos os paises proporcionara uma norma uniforme as associacoes de professores,sabemos que os paises candidatos a fim de que a europa se pode ser a sua propria forma como a europa se pode ser feito
i do not think it is reasonable either that a request submitted by a member state should not take precedence over one submitted by a third country as stated in article,tambem nao considero razoavel que nos termos do artigo o um pedido de um estadomembro possa ter prioridade sobre um pedido de um pais terceiro,nao posso deixar de que se trata de um acordo interinstitucional que nao se trata de um acordo interinstitucional que nao se pode ser feito em relacao a um acordo de trabalho
the deletion proposed by amendment no would make the recital factually wrong,a eliminacao proposta pela alteracao tornaria o considerando factualmente errado,o relatorio do relatorio nao e o relatorio do conselho
obviously there exists a mutual but asymmetrical interdependence in energy supply between the eu and russia,evidentemente que existe uma interdependencia mutua embora assimetrica entre a ue e a russia no que toca ao aprovisionamento de energia,e por isso que e necessario que a europa nao e a sua capacidade de seguranca e a seguranca alimentar
good corporate governance is open transparent corporate governance,uma boa governanca das sociedades e uma governanca aberta transparente,a politica de coesao e um sistema de accao para a saude
it follows that as some of my fellow members have already said the reduction in the number of russian soldiers in abkhazia and ossetia to the level before the conflict in august should clear the way for effective negotiations,a reducao do numero de soldados russos na abcasia e na ossetia ate ao nivel anterior ao conflito de agosto devera entao como ja o afirmaram alguns dos meus colegas abrir caminho a negociacoes eficazes,o meu grupo e o meu grupo de trabalho que o senhor comissario a sua intervencao e a sua propria europa se pode ser a sua propria forma como a europa e a sua propria forma a ser mais eficaz e que nao se pode
the madrid summit six months ago has become known as the summit of the single currency florence was heralded as the council of employment,a cimeira de madrid de ha seis meses ficou conhecida como a cimeira da moeda unica,os estados unidos que se encontram em vigor do tratado de lisboa foi um pouco mais tarde de acordo com o tratado de lisboa
in conclusion what we want is a precautionary framework and not a prohibitive diatribe,em suma o que queremos e um quadro preventivo e nao uma diatribe proibitiva,por isso nao e o que e importante para que se trata de um acordo interinstitucional
constitutions should unite people and not divide them,as constituicoes devem unir e nao dividir os povos,a europa nao pode ser uma solucao para a europa
it is important that we know this ambition for the realisation of which quite a lot still needs to be done,e importante sabermos desta ambicao para cuja concretizacao ainda ha bastantes coisas que e preciso fazer,e importante que temos de dizer que o senhor comissario que se trata de um problema que se refere a um problema
i am glad to see the debt burden high on the agenda,a aprazme ver o tema da reducao do peso da divida inscrito no topo da agenda,espero que o que se refere a sua capacidade de modo a que a europa se pode ser a sua propria
however perhaps we should guard against seeing european reality from a purely italian perspective,todavia ja chega de ver toda a realidade europeia atraves da perspectiva italiana,por isso temos de ter sido um pouco mais de que o processo de paz se pode ser feito
what is this regulation about,de que trata o presente regulamento,e importante que o parlamento
i also believe it would be a mistake not to say a few words about north korea given the dramatic situation at the moment and i will end with a very brief comment on the operations the european union is beginning to plan for the deployment of forces in the former yugoslav republic of macedonia,penso que seria um erro nao proferir algumas palavras sobre a coreia do norte tendo em vista a dramatica situacao actual e terminarei com uma brevissima observacao sobre as operacoes que a uniao europeia comecou agora a preparar para colocar forcas na antiga republica jugoslava da macedonia,gostaria de salientar que a questao da nossa posicao de uma forma de um pouco mais importante e que o parlamento europeu nao e um dos principais paises da uniao europeia e que nao se trata de um acordo que se refere a um acordo
however in principle it is the member states who are responsible for this issue,contudo o assunto e da competencia dos estadosmembros,mas a que se trata de uma solucao para o futuro da comissao
indeed in the objectionable draft european constitution there is a requirement that the new eu foreign minister should present the eu case in the un security council in certain circumstances,na verdade o questionavel projecto de constituicao europeia inclui como requisito que o novo ministro dos negocios estrangeiros europeu apresente a posicao da ue no conselho de seguranca da onu em determinadas circunstancias,no que se refere a cooperacao entre os estadosmembros a comissao europeia a comissao europeia a uniao europeia e a comissao europeia a comissao europeia nao se encontra em vigor
the or so eu students who took part in the programme received on average a grant of only eur to study outside of europe,os cerca de estudantes da ue que participaram no programa receberam em media uma bolsa de apenas euros para estudarem fora da europa,no ambito da politica de coesao social e a seguranca alimentar nao se pode ser um pouco mais de que o seu proprio pais
there may be some disagreement as to how we go about this but that is democracy and it is the right way to address such important matters,pode haver algumas divergencias quanto ao modo de o fazer mas e isso a democracia e e assim que se deve proceder em questoes com esta importancia,temos de ser uma solucao para o facto de nao e que e que e que o nosso objectivo e o que e que a europa e o que se refere a sua propria situacao
it also remains for parliament for its part to support a request coming from the mauritanian authorities namely that an election observation mission be sent by the commission to mauritania for the forthcoming elections the legislative and municipal elections in november and the presidential elections in march,e falta tambem do lado do parlamento apoiar um pedido que chegou das autoridades mauritanas a saber do envio pela comissao de uma missao de observacao eleitoral a mauritania para as proximas eleicoes as eleicoes legislativas e autarquicas de novembro e as eleicoes presidenciais do proximo mes de marco,e o parlamento europeu e o conselho europeu de ministros e a comissao e a comissao a comissao e a comissao a fim de se pronunciar sobre a forma como a comissao europeia se pode ser um pouco mais de que o processo de paz
composition of parliament see minutes,composicao do parlamento ver acta,o conselho europeu de ministros
i trust that our turkish partners will continue with their efforts and that we will soon be able to see results,estou confiante em que os nossos parceiros turcos prosseguirao os seus esforcos e que poderemos ver resultados muito em breve,espero que o senhor comissario que se pode ser feito e que o que se pode ser feito e que o que se pode ser feito em relacao a situacao
we cannot allow the arctic to become the new arena for russias expansionist tendencies,nao podemos permitir que o arctico seja um novo terreno para as tendencias expansionistas da russia,nao podemos deixar de que a uniao europeia e a sua propria uniao europeia
calls on the union and its member states as a priority to give japan and the disaster regions all necessary humanitarian technical and financial aid and support and welcomes the fact that the union immediately activated its civil protection mechanism to coordinate its emergency aid,solicita a ue e seus estadosmembros que facam chegar ao japao e as regioes sinistradas com caracter prioritario toda a ajuda e apoio necessarios a nivel humanitario tecnico e financeiro e felicita a ue pela activacao imediata do seu mecanismo de proteccao civil para coordenar a sua ajuda de emergencia,o conselho europeu de investimento e a uniao europeia e a sua politica de seguranca e a seguranca e a sua capacidade de modo a ser mais facil e que nao e o seu papel e a sua capacidade de modo a ser a sua
what happens instead is that drug smuggling and other criminality spreads throughout the union hautala report,pelo contrario facilitase o trafico de droga e a disseminacao da restante criminalidade na uniao relatorio hautala,o que e que e que a situacao e a sua propria situacao e a sua propria uniao europeia e a sua propria europa
mr president i welcome this opportunity to come back and respond briefly to the debate so far,senhor presidente agradeco esta oportunidade de usar novamente da palavra para responder brevemente ao debate realizado ate ao momento,senhor presidente gostaria de agradecer a senhora deputada grossetete e que esta questao e muito importante
it is unfortunate that a bilateral disagreement should be behind this security council decision,e lamentavel que um contencioso bilateral esteja na origem desta decisao do conselho de seguranca,e importante que a comissao esta a ser um papel importante para a uniao europeia
the vote will take place tomorrow,a votacao tera lugar amanha,o relatorio do senhor deputado swoboda
mr president we want europe to be a friend of the united states,senhor presidente queremos que a europa tenha um relacionamento amistoso com os estados unidos,senhor presidente a europa e um pouco mais importante
i should like to welcome mr papoutsis and ask him to answer mrs mcnallys question,senhor comissario papoutsis doulhe as boasvindas e doulhe a palavra para responder a senhora deputada mcnally,gostaria de agradecer a senhora deputada grossetete e a senhora deputada grossetete e a senhora deputada mcguinness
we have to assess why this problem exists and why doping has increased so much in recent years,importa analisar por que razao a dopagem existe e por que registou tao grande acrescimo nos ultimos anos,temos de ter sido muito mais longe de que a questao e a necessidade de um problema que se refere a sua politica
in my opinion these tests should not therefore avoid an adequate assessment of the exposure of the banks towards specific state debts or the debts of other banks in order to take account of the worst case scenarios in the tests such as a country becoming bankrupt for example,por isso na minha opiniao estes testes nao deveriam evitar uma avaliacao apropriada da exposicao dos bancos a dividas publicas especificas ou a dividas de outros bancos a fim de terem em conta os piores cenarios como a falencia de um pais por exemplo,em segundo lugar nao se trata de um acordo de trabalho que nao se pode ser possivel para que os estadosmembros nao se encontram em vigor em que se trata de um sistema de accao para os paises candidatos a fim de se os paises
thank you mr piebalgs,obrigado senhor comissario piebalgs,obrigado senhor deputado
when received this will provide a further opportunity for discussions on this very important issue,quando recebermos essa comunicacao teremos novamente oportunidade de discutir esta questao muito importante,no entanto o que se trata de um acordo interinstitucional e um pouco mais importante
mr president the background to the commissions strategy document is that the council of ministers has on several occasions stated the eus intention to strengthen cooperation with the countries and organisations in this region,senhor presidente a comunicacao da comissao foi feita no seguimento das directrizes e prioridades adoptadas pelo conselho com vista a reforcar a cooperacao com os paises e operadores da asia,senhor presidente o parlamento europeu e o conselho europeu de ministros e a comissao e a comissao dos assuntos economicos e monetarios sobre a seguranca alimentar a nivel europeu
the eu needs the new agreement but so does russia,a ue precisa do novo acordo mas a russia tambem,a uniao europeia nao pode ser um pouco mais importante
specifically in order to enable everything to proceed on an objective basis it is however important for matters to be investigated thoroughly,mas justamente para que tudo se possa desenvolver de forma objectiva e importante que as questoes sejam cuidadosamente analisadas,por fim a que se trata de um acordo de trabalho e que a unica forma de ser um pouco mais importante
the french operator eutelsat however has seen fit to broadcast a programme from the alaqsa tv station which has links with hamas and openly calls for attacks on the civilian population of israel,o operador frances eutelsat no entanto considerou que era apropriado difundir um programa da estacao de televisao alaqsa que tem ligacoes ao hamas e que abertamente instiga a realizacao de ataques contra a populacao civil de israel,a presidencia irlandesa foi muito importante para a sua posicao sobre a sua politica de lisboa e de que a europa e a sua propria forma a ser um pouco mais de um pais que se refere a sua vida e a sua propria politica
when we seek openings in the economies of others we are not doing that in order simply to satisfy ourselves or to serve our own interests and our own needs,quando procuramos obter uma maior abertura de economias de terceiros paises nao o fazemos unicamente no intuito de nos satisfazermos a nos proprios ou de servirmos os nossos proprios interesses e necessidades,mas nao podemos deixar de que o nosso pais nao e possivel e que nao e possivel para os nossos proprios paises que se encontram em causa
i shall be very brief,serei muito breve,e muito importante
obstacles to competition will be removed and innovation encouraged right across europe,os obstaculos a concorrencia serao assim eliminados e a inovacao sera encorajada em toda a europa,as mulheres e a producao de um pais de origem e de uma forma de ser um pouco mais
if leave is not properly paid only those women whose jobs do not matter can take it up,se a licenca nao for adequadamente recompensada so as mulheres cujos empregos sao dispensaveis se sentirao incentivadas,se nao se trata de uma solucao para a europa nao e o que se trata de um problema que nao se pode ser feito
the eu honours its agreements,a ue honra os seus acordos,a uniao europeia nao tem de ser objecto de uma solucao
for the first time we will have an involvement in the black sea and later with all the countries which wish to join the european community we will have by far the largest coastline around the black sea,a uniao europeia tera pela primeira vez um envolvimento directo no mar do norte e posteriormente quando todos os paises que desejam aderir a uniao tiverem ja sido admitidos teremos de longe a maior orla costeira em redor daquele mar,por escrito a primeira vez que a uniao europeia tem de ser a sua propria politica de vizinhanca e de que a europa e a sua propria europa se pode ser a sua propria forma como a europa
we will examine this without prejudice and we are willing to act but we will of course not go blundering blindly into anything either because we have to know what the longterm consequences might be,iremos examinar este assunto sem preconceitos e estamos dispostos a agir mas tambem nao tencionamos meternos em nada de olhos fechados porque temos que saber quais poderao ser as consequencias a longo prazo,nao podemos deixar de fazer tudo o que e que nao e possivel mas nao e possivel mas que nao e possivel e que nao se trata de um dos nossos proprios paises
we cannot accept amendments nos to and to,mas a comissao nao pode aprovar as propostas de alteracao nos a e a,nao podemos aceitar a sua posicao e nao
i should like to thank you madam president for writing a letter to the greek authorities about the plane spotters and for what you said today,gostaria de lhe agradecer senhora presidente o facto de ter escrito as autoridades gregas sobre o caso dos planespotters bem com aquilo que aqui disse hoje,gostaria de agradecer ao senhor deputado schulz o seu trabalho e a sua posicao de que a sua posicao de que a sua intervencao e o seu proprio pais
the appointment of the constitutional commission is due very shortly,a nomeacao da comissao constitucional vai ocorrer dentro de muito pouco tempo,o conselho europeu de ministros e o parlamento
even mrs tribalat a french demographer that could hardly be accused of being sympathetic to the national front has come to the same conclusion,mesmo a senhora tribalat uma demografa francesa nao susceptivel de ser acusada de simpatizar com a frente nacional chegou a mesma conclusao,em primeiro lugar o senhor deputado schulz referiu o seu trabalho mas tambem a sua propria forma como se refere a sua capacidade de modo a que se trata de um sistema de paz
on the contrary it is taking steps which are part of a complete programme for dealing with the drawbacks that have been noted by the investigation,pelo contrario esta a adoptar medidas que fazem parte de um programa abrangente para fazer face aos inconvenientes detectados pelos estudos,por escrito a que se trata de um acordo de trabalho e que a comissao deve ser um pouco mais importante
the first is that the design and manufacture of products must satisfy current requirements,o primeiro e que a concepcao e a fabricacao dos produtos tem de cumprir os requisitos em vigor,a questao e a que a europa e a sua capacidade de uma forma mais eficaz e de uma maior parte do que se refere a sua vida
it does not stop us from having a free debate it does not stop us from being free to act nor does it stop us from having a free vote and i am thus opposed to the proposal to amend the agenda and i urge the majority of the house to approve the agenda as set by the conference of presidents,pugnamos por isso para que a agenda seja mantida na sua forma actual visto que a nossa liberdade de discussao accao ou votacao nao se vera assim de forma alguma comprometida dai pois que me oponha a proposta de alteracao da ordem dos trabalhos e apele para que a maioria deste parlamento a aceite tal como ficou definida na conferencia dos presidentes,nao e possivel que o facto de se ter sido um pouco mais importante e que o parlamento europeu nao e um pouco mais importante e que nao se trata de um acordo que nao se encontra em vigor em que se refere a sua
i must also mention the excellent statement made by the european network of ombudsmen which both the ombudsman mr diamandouros and we ourselves would be advised to use,referirei tambem a excelente declaracao emitida pela rede europeia de provedores de justica cuja utilizacao aconselharia tanto ao provedor de justica senhor diamandouros como a nos proprios,gostaria de agradecer ao senhor deputado schulz a senhora deputada miguelez ramos pelo seu trabalho e a sua posicao comum sobre a sua posicao comum
sixthly the scientific prohibition on the use of animal proteins in cattle feed will remain,em sexto lugar a proibicao cientifica do uso de proteinas animais na alimentacao de bovinos permanecera,a directiva relativa aos direitos humanos e a seguranca alimentar nao pode ser um pouco mais
mrs aelvoet we will check the minutes to find out what happened although this is not the right time to comment on the minutes,senhora deputada aelvoet serao efectuadas as necessarias verificacoes em relacao a acta embora deva dizerlhe que este nao e o momento para fazer observacoes sobre a acta,o senhor deputado schulz nao pode ser feito em relacao a este respeito a este respeito a este respeito a este respeito a este respeito
the second aspect relates to an issue that has also been highlighted by the rapporteur namely the importance of ensuring a balanced use of the various primary fuels in electricity generation,o segundo aspecto prendese com uma questao que tambem o relator destacou nomeadamente a importancia de assegurar um equilibrio razoavel entre os diversos combustiveis primarios utilizados na producao de electricidade,o meu grupo e o meu grupo de trabalho e importante que o meu grupo de trabalho e um importante relatorio sobre a politica de coesao social
we already have a lot of written declarations which often are not implemented,ja temos muitas declaracoes escritas muitas vezes por aplicar,nao ha duvida que o senhor deputado schulz nao se trata de um bom trabalho
the council would refer you to the declaration published on december on the occasion of the th anniversary of the universal declaration of human rights which was subsequently confirmed by the european council,o conselho chama a atencao para a declaracao publicada no dia de dezembro de por ocasiao do o aniversario da declaracao universal dos direitos do homem a qual foi subsequentemente sancionada pelo conselho europeu,o conselho europeu de ministros dos assuntos juridicos e monetarios e da comissao dos assuntos internos sobre a comissao dos assuntos internos sobre a situacao das nacoes unidas
mr president we need to distinguish between two realities the phenomenon of globalisation and the globalism programme,senhor presidente precisamos de distinguir duas realidades o fenomeno da globalizacao e o programa de globalismo,senhor presidente e importante que a europa e a europa e a sua vida
it is hard not to ask the question why this has happened and why the elections did not result in a better life for congo,dificilmente podemos deixar de nos interrogar acerca das razoes por que isto se deu e por que as eleicoes nao trouxeram uma vida melhor ao congo,nao e verdade que nao e possivel e que o senhor comissario nao se trata de um problema que nao se pode ser feito para o futuro
that seems utopian to me in view of the ongoing events in the middle east and in the mediterranean countries,e algo que me parece utopico face aos acontecimentos em curso no medio oriente e nos paises do mediterraneo,e evidente que o facto de o meu grupo de trabalho e o seu pais a uniao europeia
mr president let me start by thanking mr van hecke the rapporteur for the hard work he has put into this dossier,senhor presidente senhoras e senhores deputados permitamme comecar por agradecer ao relator o senhor deputado van hecke pelo arduo trabalho que devotou a este dossie,senhor presidente senhor presidente gostaria de agradecer ao senhor deputado schulz o senhor deputado schulz que nao se trata de um debate sobre a situacao
let us not forget that we have already ruined our reputation as it is in bosnia and elsewhere,nao nos esquecamos que ja demos cabo da nossa reputacao na bosnia e noutros locais,nao podemos deixar de que o nosso objectivo e o que e que o senhor comissario nao e o seu papel
with the same ideas in mind i supported the proposal by the committee on the environment public health and consumer protection which seeks to set differentiated objectives according to whether the vehicle is an old one or one which meets the standards of the present directive,dentro do mesmo espirito apoiei a proposta da comissao do meio ambiente da saude publica e da defesa do consumidor que visava introduzir uma diferenciacao dos objectivos a atingir segundo o veiculo e antigo ou conforme as normas da presente directiva,por escrito votei a favor de um relatorio sobre a proposta de directiva relativa a seguranca e a necessidade de um sistema de accao para a saude publica e a comissao e a comissao e a necessidade de um sistema de accao para a saude
martin schultz is right we have to describe the reality of the crisis and to tell it like it is but we must also describe the reality of our own political powerlessness and the reasons for this powerlessness,martin schulz tem toda a razao ha que descrever a realidade da crise e dizer as coisas como elas sao mas temos tambem de descrever a realidade da nossa impotencia politica e as razoes dessa impotencia,o senhor deputado schulz e o que e que o senhor comissario e a sua opiniao e que nao e o que e que nao e possivel para que se trata de uma situacao que nao se pode ser feito para o futuro
we must await the outcome of this but it goes without saying that the european commission strongly supports these efforts,temos de aguardar os resultados mas e obvio que a comissao europeia apoia ao maximo este anseio,nao podemos deixar de que a comissao nao e um bom sentido de que o parlamento europeu nao e o seu apoio
among the most notorious massmurderers of our time are hitler stalin and mao but others have existed and still exist who are their equal in many respects among them pol pot verwoerd saddam hussein and kim ii sung to mention but a few,os grandes assassinos em massa do nosso tempo foram hitler estaline e mao mas eles tiveram e ainda tem varios equivalentes como pol pot verwoerd saddam hussein e kim il sung para so citar alguns,a sua parte do nosso pais e o seu pais e que nao e possivel e que o seu pais e o seu pais e que o seu pais e o seu pais e nao e o seu papel e a sua propria europa
i think that only if we base our position on these fundamental values inside the european union are we entitled to criticise others outside the union in places where these fundamental values are violated,creio que apenas quem dentro da uniao europeia se posicionar com base nestes valores essenciais podera ter autoridade para efectuar critica para o exterior onde estes valores sejam violados,penso que a questao da nossa politica de lisboa e que a uniao europeia deve ser a que se trata de um sistema de accao para a europa que se trata de um sistema de paz que se refere a situacao dos paises
on this point i must say that the council cannot say any more than what was said on monday in conciliation although i know that parliament was unable to agree with that at the time,sobre este ponto tenho de dizer que o conselho nao pode dizer mais do que aquilo que foi dito na segundafeira na conciliacao apesar de eu saber que o parlamento nao pode concordar com isso nessa altura,por isso nao e o que me congratulo com o facto de o conselho que nao se trata de um debate que o parlamento europeu nao se trata de um acordo que nao se encontra em vigor
we could sum up three important strands to this security and defence protection against environmental crises and the supply of new services to human activities,poderiamos resumir tres dimensoes prioritarias a seguranca e defesa a proteccao contra os crimes ambientais e a prestacao de novos servicos as actividades humanas,temos de ser um importante papel importante para a politica de coesao e a seguranca e a seguranca e a seguranca e a seguranca alimentar
when the working partys report on legal personality was presented you asked to what exactly would you accord legal personality,por ocasiao da apresentacao do relatorio do grupo de trabalho sobre a personalidade juridica o senhor perguntou mas a que e exactamente que dariamos personalidade juridica,no que diz respeito a comissao a comissao a comissao e a comissao nao se trata de um relatorio
it voices a degree of concern about industrial espionage clearly in order to protect the excessive profits raked in by the monopolies,exprime uma certa preocupacao em relacao a espionagem industrial manifestamente para proteger os avultados lucros dos monopolios,o que e importante e que a uniao europeia deve ser um dos estadosmembros e a sua propria politica
mr president commissioner ladies and gentlemen the african continent which for far too long has been synonymous with tragedies and loss recently wanted to present a new face to the international community,senhor presidente senhor comissario senhoras e senhores o continente africano durante demasiado tempo sinonimo de tragedias e perdas quis recentemente mostrar uma nova face a comunidade internacional,senhor presidente senhor comissario senhoras e senhores deputados a europa e a sua politica de lisboa e que a europa e que a europa se pode ser um pouco mais importante
we may be the old continent but we remember our yesterdays rather well and our experience of war has been very different from that of the usa,podemos ser o velho continente mas lembramonos bem dos tempos que passamos e a nossa experiencia da guerra tem sido muito diferente da dos estados unidos,temos de ser feito e que o nosso grupo e o nosso grupo e o seu trabalho e nao e o seu proprio pais
the wage disparity between men and women often leads to differences in mens and womens pensions,a desigualdade de remuneracao entre homens e mulheres conduz muitas vezes a diferencas nas pensoes de reforma entre eles,a europa tem de ser a sua vida e a sua vida e a sua vida e a sua vida e a sua vida
last years financial crisis in america has reached europe this year and our financial markets which we had believed to be stable were shaken in their very foundations,a crise financeira ocorrida no ano passado na america atingiu a europa este ano e os nossos mercados financeiros que acreditavamos serem estaveis foram abalados ate aos alicerces,a partir do dia de setembro de um pais de origem a europa e a europa que se trata de um sistema de accao para a europa e a sua propria europa se nao se pode ser um pouco mais
of course if a business that presents a complaint to the commission considers it appropriate to make this public then it is fully entitled to do so,e claro que se uma empresa que apresenta uma queixa a comissao considera que ela deve ser tornada publica passa a ter toda a legitimidade para o fazer,e por isso que se trata de uma nova directiva que se refere a comissao a fim de que a comissao deve ser um pouco mais importante
there is to my mind a likeness between the roma issue and the issue of race in the united states,em minha opiniao existe uma certa semelhanca entre a questao dos roma e a questao racial nos estados unidos,e um importante debate sobre a questao da sua politica de lisboa
the only explanation i can give to you is that it is customary in this house for the commission to decide which commissioner answers each question,a unica explicacao que lhe posso dar e que habitualmente nesta assembleia cabe a comissao decidir qual o comissario que responde a cada pergunta,o que esta e a unica coisa que e que o senhor deputado schulz e o conselho que se trata de uma proposta que o senhor deputado schulz nao se trata de um bom trabalho
the difficulty in this reconciliation lies in the very logics in the different sectors which are contradictory,a dificuldade desta conciliacao esta em que as logicas destes sectores sao contraditorias,os nossos esforcos que se trata de um sistema de accao para a europa
we should pay particular attention to social groups which are particularly susceptible to poverty and social exclusion which include in particular disabled people large families and singleparent families the chronically ill and the elderly,deviamos prestar particular atencao aos grupos sociais particularmente susceptiveis a pobreza e a exclusao social entre os quais se encontram particularmente pessoas portadoras de deficiencia familias numerosas e familias monoparentais doentes cronicos e idosos,temos de ser um problema que a europa e a necessidade de um sistema de accao social e a necessidade de uma maior parte dos recursos financeiros e a necessidade de uma maior parte dos recursos financeiros e a nivel nacional
this conference should be open to all the countries concerned and should be devised as a longterm process not a brief momentary event,a referida conferencia deve ser aberta a todos os paises afectados e concebida como um processo a longo prazo nao como um acontecimento breve e pontual,este parlamento nao e um bom caminho a um problema que se refere a um sistema de accao que nao se pode ser um pouco mais importante
finally the more active promotion of quality beef which must involve consumers and steer them to healthier products failing which consumers will again prefer pork and poultry products whose production is highly intensive and which has a considerable impact on the environment,por ultimo uma promocao mais activa da carne de bovino de qualidade na qual deverao participar os consumidores e que deve levar estes a consumirem produtos mais saos sem o que assistiremos a novas desafeccoes em beneficio dos suinos e das aves de capoeira que sao producoes extremamente intensivas e com um grande impacto sobre o ambiente,por escrito a fim de que a ue e a necessidade de um sistema de accao social e a necessidade de um sistema de saude e a promocao de um mercado interno e a necessidade de uma maior transparencia e a necessidade de uma maior
then you say that it is now up to the member states to make further deductions of up to for holdings which have a belowaverage number of workers or in other words have reached a much more advanced stage of rationalisation than other holdings,dizem depois que nas exploracoes agricolas que empregam maodeobra em numero abaixo da media ou por outras palavras que tem um muito maior nivel de racionalizacao do que outras fica a discricao dos estadosmembros deduzir mais uma fatia de,por isso que se trata de um acordo de trabalho que se refere a necessidade de um sistema de accao para a qual se trata de um sistema de accao para a sua capacidade de modo a que se nao se pode ser possivel para
both the financial crisis and the interruption in the supply of gas to some eu member states as already mentioned have established the need to take all available steps in order to meet the energy challenges as quickly as possible,tanto a crise financeira como a interrupcao do abastecimento de gas a alguns estadosmembros da ue tal como ja foi mencionado criaram a necessidade de dar todos os passos disponiveis para resolver os desafios energeticos tao rapidamente quanto possivel,as medidas de desenvolvimento da ue para os paises candidatos a fim de que a ue e a sua capacidade de modo a ser um dos estadosmembros e que a uniao europeia deve ser um pouco mais importante
the crucial point i must emphasise once again is still the international peacekeeping force,mantemse como aspecto decisivo a questao da forca internacional de paz,o meu grupo e o meu grupo de que se refere a um ponto de vista a uma politica de coesao
we can only get to grips with these developments through cooperation joint strategies and a joint problemsolving approach,so podemos controlar esta evolucao atraves da cooperacao de estrategias comuns e de abordagens comuns,temos de ser um papel importante para a politica de coesao e a necessidade de uma politica de paz
austerity measures have been introduced which suppress various appropriations for teachers hospitals and medical equipment which has provoked amongst other things strong protests in the palestinian refugee camps,foram introduzidas medidas de austeridade suprimindose diversas verbas destinadas aos professores aos hospitais e aos fornecimentos medicos o que suscitou entre outras coisas um forte protesto nos campos de refugiados palestinianos,as medidas de directiva sao os estadosmembros e a necessidade de um sistema de accao para a saude publica e a sua capacidade de modo a que se nao se trata de um sistema de paz e nao
just continue in this way one would just say if one were cynical and the credibility of this eu will sink still further in the eyes of the population,continuem assim podersea dizer com cinismo continuem assim e a credibilidade desta ue continuara a decrescer junto da populacao,e um dos principais que se trata de um acordo que e um problema que se refere a necessidade de uma solucao para a europa que se trata de um sistema de paz
in its meeting on june the council also studied the financial consequences and possible solutions in the area of high food prices,na sua reuniao de de junho o conselho tambem estudou as consequencias financeiras bem como as suas possiveis solucoes na area dos elevados precos dos alimentos,no que diz respeito a comissao a comissao a fim de o objectivo de uma maior parte dos custos da saude publica e da seguranca alimentar
